Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Anthraquinone vat dyes, from alkali fusion production",market for glycine,0.82,kilogram,4.617925573197912,68.94347234026472,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production","Heat, for dyeing process, production mix",12.62,megajoule,1.071198168400274,15.992488428717563,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production",market for sodium amide,0.08,kilogram,0.49591871485876554,7.403834829933849,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production","market group for electricity, low voltage",0.5215,kilowatt hour,0.3585310440361404,5.352701061510269,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production","market for sodium hydroxide, without water, in 50% solution state",0.1,kilogram,0.15392826415748484,2.2980771028272486,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production",market group for tap water,0.5,kilogram,0.00042078860420245755,0.006282177361910337,6.698133146538555
"Anthraquinone vat dyes, from alkali fusion production",market for wastewater from textile production,-0.00045,cubic meter,0.0002106635161283439,0.0031451079206630895,6.698133146538555
"Azo acid dyes, from bromisation production",market for 2-nitroaniline,0.84,kilogram,4.269814120255335,54.32672517862919,7.859509488591401
"Azo acid dyes, from bromisation production",market for bromine,0.74,kilogram,1.54694659744596,19.682482726071587,7.859509488591401
"Azo acid dyes, from bromisation production","Heat, for dyeing process, production mix",10.0608,megajoule,0.8539707220514496,10.865445525462432,7.859509488591401
"Azo acid dyes, from bromisation production",market for methanol,0.4,kilogram,0.4036426871539893,5.1357236445849885,7.859509488591401
"Azo acid dyes, from bromisation production","market for sodium hydroxide, without water, in 50% solution state",0.22,kilogram,0.33864218111078803,4.308693584534119,7.859509488591401
"Azo acid dyes, from bromisation production","market group for electricity, low voltage",0.3236992,kilowatt hour,0.22254307220998654,2.8315135000857565,7.859509488591401
"Azo acid dyes, from bromisation production","market for hydrochloric acid, without water, in 30% solution state",0.088,kilogram,0.07801363205854911,0.9926017924119954,7.859509488591401
"Azo acid dyes, from bromisation production",market for cooling energy,1.14,megajoule,0.07648641724222655,0.9731703658256492,7.859509488591401
"Azo acid dyes, from bromisation production","market for sodium chloride, powder",0.252,kilogram,0.0674295536610258,0.8579359024746299,7.859509488591401
"Azo acid dyes, from bromisation production",market group for tap water,1.6,kilogram,0.0013465235350569303,0.01713241185103852,7.859509488591401
"Azo acid dyes, from bromisation production",market for wastewater from textile production,-0.00144,cubic meter,0.0006741232472871824,0.008577166911824675,7.859509488591401
"Azo disperse dyes, from diazotization-coupling production",market for 2-nitroaniline,0.525,kilogram,2.6686338248337,45.3689081090805,5.882076373576154
"Azo disperse dyes, from diazotization-coupling production","Heat, for dyeing process, production mix",15.72,megajoule,1.3343292506979678,22.684663815181462,5.882076373576154
