descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/DISPERSE/BATCH/BEAM#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Beam, Disperse, Synthetic Fibers, Medium Shade",0.017339011347033452,1080.0508261345178,54.19655473022298,0.001003892,4.108381347018479,3.050822339193129e-08,3.1597423936212033e-06,0.15498916733686455,11.07115334243162,1.700817138448506e-05,5.8869290352518366e-08,0.011610800396391978,2.0448050250507242e-07,0.004514244,0.031452786,1.2778476123567342,2.17,2.17,2.17,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/REACTIVE/CONTINUOUS/PAD_STEAM#NATURAL_FIBERS@WORLD,"Fabric dyeing, Continuous, Pad steam, Reactive, Cellulosic Fibers, Medium Shade",0.015365151582591037,449.29388621884874,45.01798983,0.001075171,3.411320485032258,1.2765200320437259e-08,1.31969164167217e-06,0.2318970689805576,6.681606814948703,1.598508209367286e-05,3.943039117724968e-08,0.009642445,1.651668727159821e-07,0.003354046,0.027857611458035333,0.7593060397799702,2.09,2.09,2.09,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/DISPERSE/BATCH/SOFTFLOW_JET#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Softflow jet, Disperse, Synthetic Fibers, Medium Shade",0.013280868086319435,627.1179919633275,49.485867605827444,0.000719297,3.464273036258617,1.8050197240470152e-08,1.8254856465747495e-06,0.099158862,10.049854830476235,1.3523166601433296e-05,5.6765160636041305e-08,0.010709864923244739,1.5747611991319523e-07,0.003641382,0.023451521161877452,0.9309225048888452,2.41,2.14,2.41,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/ACID/BATCH/PACKAGE#WOOL_AND_SILK@WORLD,"Yarn dyeing, Exhaust, Package, Acid, Animal Fibers, Medium Shade",0.018483370432154905,460.52251834509144,56.26443645312165,0.001305016,4.234537926401026,1.37147092403277e-08,1.3249030032186654e-06,0.2859838844130686,11.021907300561272,1.817909807327375e-05,5.07149010272827e-08,0.012167831544856393,1.9994658498721882e-07,0.00426415,0.034712011,1.0654008992139432,2.11,2.11,2.11,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FIBER/VAT/BATCH/PACKAGE#NATURAL_FIBERS@WORLD,"Fiber dyeing, Exhaust, Package, Vat, Cellulosic Fibers, Medium Shade",0.018477816006478933,1291.2872683740807,53.69658108,0.001390315,4.028901527860208,3.620551126785929e-08,3.7692421240621402e-06,0.2723799733582322,18.059486298053812,2.4154077381629963e-05,5.987631392692628e-08,0.012294196,1.9996255729818044e-07,0.00566541,0.035515004,1.8892523629943192,2.24,2.17,2.24,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/DISPERSE/BATCH/CONVENTIONAL_JET#SYNTHETIC_FIBERS@WORLD,"Fabric dyeing, Exhaust, Conventional jet, Disperse, Synthetic Fibers, Medium Shade",0.021833007571880107,1247.621861667329,65.33735619369172,0.001521954,4.788708973517695,3.581684140543006e-08,3.646670574546875e-06,0.26297350874347825,14.198034987566444,2.550447765515882e-05,7.258642176852259e-08,0.014529472077631994,2.3328645076439856e-07,0.0059217,0.037948056,1.5926507939803303,2.24,2.14,2.24,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/DISPERSE/BATCH/HANK#SYNTHETIC_FIBERS@WORLD,"Yarn dyeing, Exhaust, Hank, Disperse, Synthetic Fibers, Medium Shade",0.022695951716557687,409.5802027,67.65793271412534,0.001533686,5.015004022959747,1.2425438874728993e-08,1.0926449462789279e-06,0.3232985694992291,18.667648090227672,3.768589729258835e-05,1.303575205447481e-05,0.015161533606401678,2.4331147651770816e-07,0.005389249,0.042948502,2.272005330999857,2.27,2.14,2.27,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/BATCH/CONVENTIONAL_JET#WOOL_AND_SILK@WORLD,"Fabric dyeing, Exhaust, Conventional jet, Acid, Animal Fibers, Medium Shade",0.030307659279854238,2090.081296999363,95.30959793,0.002385138,6.824127515152076,6.025786058077684e-08,6.054302801161137e-06,0.43107139521904747,22.509636486663403,3.163846111679382e-05,1.1513703866129047e-07,0.021464272,3.2465143978084195e-07,0.009081862,0.056983792,2.536074097352355,2.3,2.19,2.3,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FIBER/REACTIVE/BATCH/PACKAGE#NATURAL_FIBERS@WORLD,"Fiber dyeing, Exhaust, Package, Reactive, Cellulosic Fibers, Medium Shade",0.018565655,1284.4492529828935,53.05204937864643,0.001378407,3.9885946937131473,3.6259584100928014e-08,3.7733784728835883e-06,0.26624094199726117,18.07412083316733,2.4210384202512988e-05,5.772626217823009e-08,0.012334925634160861,2.0190539367448845e-07,0.005774416,0.035608202,1.8806627404015435,2.24,2.16,2.24,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FABRIC/ACID/CONTINUOUS/PAD_STEAM#WOOL_AND_SILK@WORLD,"Fabric dyeing, Continuous, Pad steam, Acid, Animal Fibers, Medium Shade",0.014211890397578895,262.7487049581771,44.16830157545026,0.000965456,3.3125235145324536,8.060099579936919e-09,7.42348201312964e-07,0.21246148866802034,5.855799705168293,1.207485795358639e-05,3.999406462072525e-08,0.009336784,1.5436700989208735e-07,0.002964998,0.026064140865613306,0.5984274406873848,2.09,2.09,2.09,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FIBER/DISPERSE/BATCH/PACKAGE#SYNTHETIC_FIBERS@WORLD,"Fiber dyeing, Exhaust, Package, Disperse, Synthetic Fibers, Medium Shade",0.020209979,652.0731572785904,55.75462646871598,0.00152133,4.208327552979902,1.8851382525392343e-08,1.910928687163535e-06,0.3420429075211874,13.430061000457357,2.462910475667634e-05,4.833178504210229e-08,0.012531208253775043,2.0566652632316143e-07,0.004855812,0.037447791604271974,1.3768790832286928,2.11,2.11,2.11,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/FIBER/ACID/BATCH/PACKAGE#WOOL_AND_SILK@WORLD,"Fiber dyeing, Exhaust, Package, Acid, Animal Fibers, Medium Shade",0.018696883549552235,231.46525387427258,55.09580119395122,0.001259709,4.163207961,7.30259231513286e-09,6.536757763432702e-07,0.2818232264788215,10.588834156557915,1.978998184990809e-05,4.6848271209845604e-08,0.011932086572159512,2.001675451243752e-07,0.003885216,0.034122464267748426,0.968426222,2.09,2.09,2.09,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/GARMENT/REACTIVE/BATCH/FRONT_LOADER#NATURAL_FIBERS@WORLD,"Garment dyeing, Exhaust, Front Loader, Reactive, Cellulosic Fibers, Medium Shade",0.020751979931665315,1667.7485888962617,59.82486904836636,0.001617089,4.581326109768314,4.638473681695886e-08,4.920775352392177e-06,0.31091802331349705,10.692211352425014,2.8397462078692068e-05,6.225875126550245e-08,0.013115581,2.2807305387033706e-07,0.005675761,0.039283091632191666,1.5455894460783028,2.13,2.13,2.13,3,1.092
MATERIAL_PROCESS_STEP:COLORATION/DYEING/YARN/DISPERSE/BATCH/PACKAGE#SYNTHETIC_FIBERS@WORLD,"Yarn dyeing, Exhaust, Package, Disperse, Synthetic Fibers, Medium Shade",0.018142656228838434,558.6464475105031,55.760393413717495,0.001133478,4.043316898355624,1.6699700784741116e-08,1.4865018585256575e-06,0.20320893650031255,20.749570882286545,4.1066713123534266e-05,1.8223397349891442e-05,0.012928555917420067,2.0080709223566685e-07,0.00506368,0.035003629,2.677607773594737,2.46,2.18,2.46,3,1.092
