descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
COMPONENT_PROCESS_STEP:FINISHING/CAN_DRY#ANY@WORLD,"Fabric finishing, Can Dry, Cylinder drying",0.0025273,1.3496014246389323,9.414278832304309,7.811496526361236e-05,0.7367838955579444,1.1476950817230266e-10,2.362769714526404e-09,0.00685803,0.6162156730066146,2.1339848902069848e-07,8.52288540832412e-09,0.001783519,3.380071166792907e-08,0.000385519,0.004014301,0.024264711,2.04,2.04,2.04,3,1
COMPONENT_PROCESS_STEP:PREPARATION/MERCERIZATION#ANY@WORLD,"Fabric pre-treatment, Mercerization, Continuous, Cotton",0.003686527,367.2223761864801,9.276090712195533,0.000306262,0.746869184,1.2046668518604277e-08,1.0840552005757383e-06,0.047069648,1.7050494136290781,7.367378891178255e-06,3.7343200130499405e-08,0.002332801,4.038694951631772e-08,0.001103134,0.00745786,0.3467205154379156,2.57,2.05,2.57,3,1
COMPONENT_PROCESS_STEP:FINISHING/COATING#ANY@WORLD,"Fabric finishing, Coating or Lamination, Knife-over-roll",0.002857176,1.5056724629272682,10.060599531398022,0.000122461,0.7834175407319051,1.1717120291394987e-10,2.8010911824477447e-09,0.020593396,0.7713016207539222,3.0312995852466004e-07,8.484477296836441e-09,0.001955054,3.607856005376192e-08,0.00046419,0.004787753,0.048631219031460685,2.17,2.17,2.17,3,1
COMPONENT_PROCESS_STEP:FINISHING/FLAME_RETARDANT/PAD_DRY_CURE/PYROVATEX_N-P#ANY@WORLD,"Fabric finishing, Flame retardant, Pyrovatex N-P, Pad-Dry-Cure",0.005004925,2.1884212779622065,7.9658926306851825,0.000233783,0.6272382081738015,2.1265255798795886e-10,8.615623935865335e-09,0.018832594129965206,5.890961854777981,8.668148985587914e-06,7.564884183626103e-09,0.002004518,3.9939220998132986e-08,0.000479492,0.005131361,0.5983568697869533,2.37,2.16,2.37,3,1
COMPONENT_PROCESS_STEP:FINISHING/HEAT_SETTING#ANY@WORLD,"Fabric finishing, Heat setting, Stenter, PES 190°C",0.001652439,0.8733347609314712,5.8919948895269725,6.651710236277295e-05,0.4593358479382707,6.935236309600614e-11,1.6036130305615205e-09,0.010290359,0.43666298871468756,1.675084224515855e-07,5.05214946510426e-09,0.001138427,2.1135120981752173e-08,0.000264887,0.00273751,0.025451457075197022,2.14,2.14,2.14,3,1
COMPONENT_PROCESS_STEP:FINISHING/THERMOFIXING#ANY@WORLD,"Fabric finishing, Thermofixing, Stenter, Cotton 160°C",0.001432447,0.7553138254970129,5.056759187019092,6.064145903349598e-05,0.3938614699546161,5.902180505994031e-11,1.4014583336452806e-09,0.010040794,0.3850432026593784,1.5060722669830092e-07,4.279128282265143e-09,0.000981521,1.8135164083809462e-08,0.000232096,0.002394831,0.023912871,2.17,2.17,2.17,3,1
COMPONENT_PROCESS_STEP:FINISHING/SANFORIZATION#ANY@WORLD,"Fabric finishing, Sanforization, Compressive shrinkage",0.000827653,1.0420334015341959,2.913643305,3.55917743216047e-05,0.22688944475532644,5.0596974401157856e-11,2.6076571061229604e-09,0.005976356,0.22356481635807193,8.808749477133722e-08,2.4626708432045744e-09,0.000566285,1.0450067757976225e-08,0.00013511,0.001387215,0.014327149525445225,2.18,2.18,2.18,3,1
COMPONENT_PROCESS_STEP:FINISHING/WATER_REPELLENT/PAD_DRY/C0_FLUOROCARBON#ANY@WORLD,"Fabric finishing, DWR, C0 non-fluoro, Pad-Dry, Stenter",0.00154736,2.2150840617537395,5.480925560540742,6.804800306584379e-05,0.42185495722150246,9.97216980157322e-11,1.7461544735346748e-09,0.011392635034518997,0.5075566854676257,3.559196805572874e-07,5.860021548396893e-07,0.001072644,1.9429219532789585e-08,0.000255621,0.002635855,0.062919939,2.07,2.07,2.07,3,1
COMPONENT_PROCESS_STEP:PREPARATION/DESIZING#ANY@WORLD,"Fabric pre-treatment, Desizing, Polyester, Continuous",0.004989172,428.03204491024036,16.69317534689459,0.000323148,1.2884126614320335,1.1963199833818153e-08,1.2629524856825755e-06,0.053054236,3.686790259343932,1.2818874585788987e-06,1.7897763609310897e-08,0.003505271,6.058091982914837e-08,0.001502648,0.009261516,0.415790898,2.1,2.1,2.1,3,1
COMPONENT_PROCESS_STEP:FINISHING/FLAME_RETARDANT/PAD_CURE_OXIDIZE/PROBAN_THPC#ANY@WORLD,"Fabric finishing, Flame retardant, Proban THPC, Pad-Cure-Oxidize",0.006960416,366.5184401864804,10.992164849114564,0.000453197,0.8751066523032742,1.0263327147677531e-08,1.089180236633906e-06,0.060036944666679345,7.713282771263623,1.0867918748442927e-05,1.2259229051790643e-08,0.002855078,5.4359602863039075e-08,0.001149511,0.008075274,0.854472787,2.23,2.04,2.23,3,1
COMPONENT_PROCESS_STEP:FINISHING/SOFTENING/PAD_DRY#ANY@WORLD,"Fabric finishing, Softening, Pad-Dry, Stenter",0.001877263,18.222496867293877,6.709300426599958,9.106726421786743e-05,0.5026701936544137,5.412282756567757e-10,3.817906490617989e-08,0.015290780296478103,0.8529303741374435,9.38079213626499e-07,2.185916184371209e-06,0.001336246,2.3193842062160775e-08,0.000335293,0.003328488,0.17573696773209727,2.35,2.14,2.35,3,1
COMPONENT_PROCESS_STEP:FINISHING/RAISING#ANY@WORLD,"Fabric finishing, Raising-Brushing, Mechanical",0.000685544,0.3406363251131972,1.8156273849499038,6.446025911661837e-05,0.13709169248285466,1.5193765872852366e-11,8.055339424169742e-10,0.018129836378499575,0.2617421456285161,1.362896990169284e-07,8.536510778777163e-10,0.000406169,6.46468775486286e-09,0.000140498,0.001405018,0.033443159,2,2,2,3,1
COMPONENT_PROCESS_STEP:FINISHING/CALENDERING#ANY@WORLD,"Fabric finishing, Calendering, Heated roller",0.002632625,1.3873768236381863,9.271024391271453,0.000112772,0.7219413772409553,1.0798640671560615e-10,2.580700525465388e-09,0.018950487657241045,0.7105428690124763,2.791887455528665e-07,7.819854467969485e-09,0.001801519,3.32471304075134e-08,0.000427655,0.004410999,0.044768852,2.17,2.17,2.17,3,1
COMPONENT_PROCESS_STEP:FINISHING/WATER_REPELLENT/PAD_DRY/C6_FLUOROCARBON#ANY@WORLD,"Fabric finishing, DWR, C6 fluorocarbon, Pad-Dry, Stenter",0.002126362,1.8817255372527248,6.473487842,9.645131456778395e-05,1.7578899586787835,1.5016906230058297e-09,4.171449110669939e-09,0.017101854248933682,0.678841556,2.556513233126524e-06,3.3275241764904126e-05,0.001327623,2.380374358106505e-08,0.000316549,0.003269284,0.064094074,2.81,2.04,2.81,3,1
COMPONENT_PROCESS_STEP:FINISHING/SOFTENING/JET#ANY@WORLD,"Fabric finishing, Softening, Exhaust, Jet",0.00123316,245.59560676745576,4.058846480612726,0.000110367,0.30546850459267527,6.776253164132514e-09,7.199682586443475e-07,0.016349211037514702,0.5775619463887387,6.368187640419562e-07,1.0955860650747268e-06,0.000846617,1.4587073366841255e-08,0.000472702,0.002332479,0.19144909611128216,2.27,2.1,2.27,3,1
COMPONENT_PROCESS_STEP:FINISHING/COMPACTING#ANY@WORLD,"Fabric finishing, Compacting, Mechanical compressive",0.000827355,0.43598747870457666,2.9129204111090483,3.548103485351737e-05,0.22682630072788548,3.392209163836757e-11,8.111900857776679e-10,0.005970694,0.22339010281229055,8.781345297287767e-08,2.4561916322978076e-09,0.000566091,1.0446068147266308e-08,0.000134433,0.001386539,0.014094480065018887,2.18,2.18,2.18,3,1
COMPONENT_PROCESS_STEP:FINISHING/EMERIZING#ANY@WORLD,"Fabric finishing, Emerizing, Peach skin effect",0.000685544,0.3406363251131972,1.8156273849499038,6.446025911661837e-05,0.13709169248285466,1.5193765872852366e-11,8.055339424169742e-10,0.018129836378499575,0.2617421456285161,1.362896990169284e-07,8.536510778777163e-10,0.000406169,6.46468775486286e-09,0.000140498,0.001405018,0.033443159,2,2,2,3,1
COMPONENT_PROCESS_STEP:FINISHING/EASY_CARE/PAD_DRY_CURE#ANY@WORLD,"Fabric finishing, Easy-care, DMDHEU, Pad-Dry-Cure, Stenter",0.002956417,2.2374958907307323,9.393878909229128,0.000124143,0.6774569834035016,1.1775326983655147e-09,3.6421004769022207e-09,0.015130973681573678,1.1260568138777198,2.1610732396376705e-06,8.235704172762211e-09,0.001871733,4.040353341195042e-08,0.000469347,0.006014371,0.3763350089904526,2.45,2.1,2.45,3,1
