,Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
77,"3D Knitting, Average","market group for electricity, medium voltage",9.26,kilowatt hour,6.347345293973191,96.32714917345143,6.5893627585135395
82,"3D Knitting, Average","market for building, hall",0.000486,square meter,0.1894748172539065,2.8754649606914215,6.5893627585135395
79,"3D Knitting, Average",market for waste mineral oil,-0.00825,kilogram,0.0235289844108148,0.3570752631643334,6.5893627585135395
80,"3D Knitting, Average",market for building machine,4.67e-07,unit,0.014805499185977233,0.22468787542237437,6.5893627585135395
78,"3D Knitting, Average",market for lubricating oil,0.00825,kilogram,0.014197604682409052,0.21546248404772628,6.5893627585135395
81,"3D Knitting, Average",market for waste steel,-0.0003,kilogram,5.506653139823514e-06,8.356882663211779e-05,6.5893627585135395
83,"3D Knitting, Average","treatment of waste electric and electronic equipment, shredding",-0.0001,kilogram,4.8922076801152205e-06,7.424401811532423e-05,6.5893627585135395
0,"Circular Knitting, 120 dtex","market group for electricity, medium voltage",4.78,kilowatt hour,3.2764914162558134,98.47768375969218,3.3271410244083253
2,"Circular Knitting, 120 dtex",market for waste mineral oil,-0.007,kilogram,0.019963986773170628,0.6000342824879471,3.3271410244083253
3,"Circular Knitting, 120 dtex",market for building machine,4.64e-07,unit,0.014710388915606807,0.4421330147321542,3.3271410244083253
1,"Circular Knitting, 120 dtex",market for lubricating oil,0.007,kilogram,0.012046452463075263,0.3620661815865625,3.3271410244083253
5,"Circular Knitting, 120 dtex","market for building, hall",1e-05,square meter,0.003898658791965603,0.1171774434376106,3.3271410244083253
4,"Circular Knitting, 120 dtex",market for waste steel,-0.0011,kilogram,2.019106159334491e-05,0.0006068592057030568,3.3271410244083253
6,"Circular Knitting, 120 dtex","treatment of waste electric and electronic equipment, shredding",-0.0002,kilogram,9.784415360230441e-06,0.000294078768782289,3.3271410244083253
49,"Circular Knitting, 150 dtex","market group for electricity, medium voltage",4.72,kilowatt hour,3.235363907880227,98.45863921529113,3.2860132271437674
51,"Circular Knitting, 150 dtex",market for waste mineral oil,-0.007,kilogram,0.019963986773170628,0.6075443217410146,3.2860132271437674
52,"Circular Knitting, 150 dtex",market for building machine,4.64e-07,unit,0.014710388915606807,0.44766675904080916,3.2860132271437674
50,"Circular Knitting, 150 dtex",market for lubricating oil,0.007,kilogram,0.012046452463075263,0.36659780805405184,3.2860132271437674
54,"Circular Knitting, 150 dtex","market for building, hall",1e-05,square meter,0.003898658791965603,0.11864403830639332,3.2860132271437674
53,"Circular Knitting, 150 dtex",market for waste steel,-0.0011,kilogram,2.019106159334491e-05,0.0006144546658107997,3.2860132271437674
55,"Circular Knitting, 150 dtex","treatment of waste electric and electronic equipment, shredding",-0.0002,kilogram,9.784415360230441e-06,0.00029775946363840857,3.2860132271437674
14,"Circular Knitting, 170 dtex","market group for electricity, medium voltage",4.69,kilowatt hour,3.214800152900201,98.72543633381176,3.256303818228036
17,"Circular Knitting, 170 dtex",market for building machine,4.64e-07,unit,0.014710388915606807,0.4517511183465575,3.256303818228036
16,"Circular Knitting, 170 dtex",market for waste mineral oil,-0.005,kilogram,0.014259990552436042,0.43791953541349277,3.256303818228036
15,"Circular Knitting, 170 dtex",market for lubricating oil,0.005,kilogram,0.008604608899451187,0.2642446583541921,3.256303818228036
19,"Circular Knitting, 170 dtex","market for building, hall",1e-05,square meter,0.003898658791965603,0.1197265061737118,3.256303818228036
18,"Circular Knitting, 170 dtex",market for waste steel,-0.0011,kilogram,2.019106159334491e-05,0.0006200607412711313,3.256303818228036
