descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input required (kg)
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=120@WORLD,"Circular Knitting, 120 dtex",0.016532734,8.312668997961016,44.057848527261456,0.001551781,3.3271410244083253,3.819422535941488e-10,1.9590845764527683e-08,0.43470753492477565,6.414789271540952,3.494091841704728e-06,2.1090591804734926e-08,0.009997209,1.5694691623389615e-07,0.003388231,0.033971065,0.808836306,2.02,2.02,2.02,3,1.042
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=330@WORLD,"Circular Knitting, 330 dtex",0.015873307,7.978550297026561,42.26922030355152,0.001489988,3.192330957201372,3.668547994057902e-10,1.8804085108525476e-08,0.4174142632676955,6.159722601088783,3.350483132151318e-06,2.0206643343919734e-08,0.009579324,1.5071239881027918e-07,0.003253142,0.032619314,0.7766486124008745,2.01,2.01,2.01,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=170@WORLD,"Circular Knitting, 170 dtex",0.016207917750466566,8.138354213304225,43.11325142,0.001521663,3.256303818228036,3.737983034581957e-10,1.9185348521036572e-08,0.4264092512152537,6.284180731948921,3.4044944822342972e-06,2.0560488787772974e-08,0.009750384,1.5385167820137413e-07,0.003321775,0.033304839,0.7929534931505595,2.01,2.01,2.01,3,1.042
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=300@WORLD,"Circular Knitting, 300 dtex",0.015907583125167823,7.995581693863935,42.35999942127562,0.001493211,3.1991853711044533,3.676144687567806e-10,1.884436080332637e-08,0.4183207333716147,6.172807498828963,3.3572974455469524e-06,2.024932483495567e-08,0.009599632,1.5103562556239787e-07,0.003260167,0.032689563214386874,0.7783207290015045,2.01,2.01,2.01,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/HOSIERY#ANY@WORLD,"Hosiery Knitting, Average",0.01968049,9.961532004891948,52.464843202164055,0.001848333,3.9647298698516713,4.723215411874377e-10,2.3451277947126958e-08,0.516105829,7.690849919311115,4.254992689623456e-06,2.519421937652306e-08,0.011914976,1.8796285713309483e-07,0.00403593,0.040504359,0.9672445349253552,2.02,2.02,2.02,3,1.020
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/SEAMLESS#ANY@WORLD,"Seamless Knitting, Average",0.020616067026422727,10.363133706320555,54.88454887470624,0.00193418,4.145100945403326,4.757009565188164e-10,2.441290271281251e-08,0.5419324146774598,8.016518785176835,4.373025931518229e-06,2.6246440109715136e-08,0.012443795970008168,1.9575885040838353e-07,0.004224317,0.042380987,1.0080952271234063,2.01,2.01,2.01,3,1.026
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=370@WORLD,"Circular Knitting, 370 dtex",0.015839029,7.961518091279415,42.178436858954285,0.001486765,3.1854762162506125,3.6609509363747164e-10,1.8763807487996665e-08,0.41650775130574197,6.1466349936916655,3.3436684885391385e-06,2.0163959796738088e-08,0.009559015,1.5038915724464802e-07,0.003246117,0.032549061586671674,0.7749764163003086,2.01,2.01,2.01,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=150@WORLD,"Circular Knitting, 150 dtex",0.016327069706813618,8.210477381312412,43.513156505745734,0.001532442,3.2860132271437674,3.773840916284941e-10,1.9349183885751246e-08,0.42926854579938334,6.336266312321016,3.4532046413968396e-06,2.0834494690578046e-08,0.009875358,1.55007496095993e-07,0.003346081,0.033549557,0.7988032884381473,2.02,2.02,2.02,3,1.042
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/FLAT#ANY@WORLD,"Flat Knitting, Average",0.020009488143727494,10.230228909350561,52.44230324,0.001846846,3.9714910686888563,4.85267562515197e-10,2.3659183811078403e-08,0.5158460476738707,8.518260759,5.1926038606381174e-06,2.5269649254253252e-08,0.011959980020089337,1.9397422601039972e-07,0.004080059,0.041889854931598275,0.9705618578018615,2.02,2.02,2.02,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=200@WORLD,"Circular Knitting, 200 dtex",0.016113246,8.097772491,42.904687111150636,0.001512549,3.240312837775668,3.7217259410028454e-10,1.9086020756202593e-08,0.4237596785356142,6.2513301636167045,3.39818432699733e-06,2.0505419918557192e-08,0.009721482,1.5297503004458938e-07,0.003302316,0.033111068,0.7883536655984615,2.01,2.01,2.01,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/CIRCULAR#ANY?DTEX=45@WORLD,"Circular Knitting, 45 dtex",0.018323309,9.20883751,48.84226120418634,0.001719932,3.688152326268199,4.220994159793424e-10,2.1706737116502737e-08,0.4819150298112831,7.101731112324053,3.862578528844661e-06,2.338306417890006e-08,0.011085273213708039,1.738481650760525e-07,0.00375514,0.037641095,0.8962051999837259,2.01,2.01,2.01,3,1.031
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/KNITTING/3D#ANY@WORLD,"3D Knitting, Average",0.033658285243417595,17.579196661625144,86.73924343199641,0.003042733,6.5893627585135395,8.625709533943509e-10,3.975451917168577e-08,0.8464687382127973,15.845130184056362,1.0723814197515021e-05,4.2403517886080275e-08,0.020019986943822787,3.3423365653737864e-07,0.006821091,0.071998855,1.6153699043945686,2.04,2.04,2.04,3,1.020
