Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
STR production [TH],Electricity,,,0.1605427795394932,5.375686905176131,2.986460751367609
STR production [TH],Diesel,,,0.1337624953204891,4.4789637787549825,2.986460751367609
STR production [TH],LPG (propane),,,0.1064214120155647,3.56346260257499,2.986460751367609
STR production [TH],Tap water,,,0.0659869497532918,2.209536814541225,2.986460751367609
STR production [TH],Wastewater,,,0.0140773264190692,0.4713715528530789,2.986460751367609
STR production [TH],Formic acid,,,0.0160120649306034,0.5361552105873462,2.986460751367609
STR production [TH],"↳ market for power sawing, without catalytic converter",,,0.0275150547398613,0.9213265142447016,2.986460751367609
STR production [TH],↳ Wood burning,,,0.554413790230809,18.5642416354182,2.986460751367609
STR production [TH],↳ N fertiliser,,,0.3562489891925933,11.928801978377043,2.986460751367609
STR production [TH],↳ P fertiliser,,,0.3562445692806106,11.9286539800489,2.986460751367609
STR production [TH],↳ K fertiliser,,,0.2990908196071711,10.01489202462167,2.986460751367609
STR production [TH],↳ Mg fertiliser,,,0.0100652573702906,0.3370296216242379,2.986460751367609
STR production [TH],"↳ pesticide production, unspecified",,,0.1260890050225545,4.22202116551553,2.986460751367609
STR production [TH],↳ rainwater harvesting,,,0.000247763109057,0.0082962117932936,2.986460751367609
STR production [TH],↳ market for ethephon,,,0.0078376930505847,0.2624408523365191,2.986460751367609
STR production [TH],↳ LUC,,,0.7180300183133642,24.042841279081003,2.986460751367609
STR production [TH],↳ Peatland draining,,,0.0177730206879384,0.5951198481279075,2.986460751367609
STR production [TH],↳ Transport,,,0.0161017210823003,0.5391572976449408,2.986460751367609
STR production [ID],Electricity,,,0.25261295396756,3.8315504031469465,6.592969617731839
STR production [ID],Diesel,,,0.1337624953204891,2.0288656413755333,6.592969617731839
STR production [ID],LPG (propane),,,0.1064214120155647,1.6141650604508118,6.592969617731839
STR production [ID],Tap water,,,0.0659869497532918,1.0008684034553932,6.592969617731839
STR production [ID],Wastewater,,,0.0140773264190692,0.213520268335655,6.592969617731839
STR production [ID],Formic acid,,,0.0160120649306034,0.2428657472884279,6.592969617731839
STR production [ID],"↳ market for power sawing, without catalytic converter",,,0.0333515815016833,0.5058658455210229,6.592969617731839
STR production [ID],↳ Wood burning,,,0.6720167154312834,10.192929050118623,6.592969617731839
STR production [ID],↳ N fertiliser,,,0.4318169572126631,6.549657927306207,6.592969617731839
STR production [ID],↳ P fertiliser,,,0.4318115994192034,6.549576662052909,6.592969617731839
STR production [ID],↳ K fertiliser,,,0.3625343268661335,5.498801721929596,6.592969617731839
STR production [ID],↳ Mg fertiliser,,,0.01220031198117,0.1850503291924359,6.592969617731839
STR production [ID],"↳ pesticide production, unspecified",,,0.1528351576032732,2.318153525115936,6.592969617731839
STR production [ID],↳ rainwater harvesting,,,0.0003003189200689,0.0045551388445841,6.592969617731839
STR production [ID],↳ market for ethephon,,,0.0095002340008622,0.1440964322861624,6.592969617731839
STR production [ID],↳ LUC,,,0.6149465134191237,9.327306950804392,6.592969617731839
STR production [ID],↳ Peatland draining,,,3.266681004608627,49.54794567569164,6.592969617731839
STR production [ID],↳ Transport,,,0.0161017210823003,0.2442256223810693,6.592969617731839
STR production [CI],Electricity,,,0.1273268946076618,2.3754477651275105,5.360121846368074
STR production [CI],Diesel,,,0.1337624953204891,2.4955122132367995,5.360121846368074
