Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/pair),Contribution (%),Total Activity Impact (kgCO2eq/pair)
"Sneaker Shoe Assembly, Vietnam electricity","market for electricity, medium voltage",1.4012446428571428,kilowatt hour,0.7197821690631676,48.04853819791596,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methyl ethyl ketone,0.040845,kilogram,0.28154148627790315,18.794098324676174,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for vinyl acetate,0.03025,kilogram,0.13323172106357586,8.893787195408436,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for ethyl acetate,0.028061,kilogram,0.11095556783243328,7.406758695074396,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for oxalic acid,0.003,kilogram,0.05215896647021726,3.481834088874342,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for corrugated board box,0.02724,kilogram,0.03550803693523196,2.3703133285950804,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for polyurethane adhesive,0.00562,kilogram,0.02994533392145493,1.9989791114818585,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for polyurethane, flexible foam",0.00483857276126313,kilogram,0.029717125555864955,1.9837452270617908,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for acetone, liquid",0.0078275,kilogram,0.022252382585085093,1.4854417080457978,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methylcyclohexane,0.0060961999999999995,kilogram,0.015654802359854756,1.0450250110353796,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for rosin size, for paper production",0.0028875,kilogram,0.009754490189926513,0.6511539388394445,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for synthetic rubber,0.0028875,kilogram,0.009173147836371423,0.6123468504154372,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for polyethylene, low density, granulate",0.0022900000000000004,kilogram,0.007564154588463109,0.5049396696666643,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for propylene glycol, liquid",0.0013249999999999998,kilogram,0.006392568887683206,0.42673131342282533,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for lubricating oil,0.00258,kilogram,0.004439978170675037,0.29638753209079627,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for polyurethane, rigid foam",0.00075,kilogram,0.004378358653686514,0.29227416579330423,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for chemical, organic, unspecified",0.0010365,kilogram,0.004018985639763866,0.26828448012321204,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for toluene diisocyanate,0.0004905,kilogram,0.003469524702705405,0.23160561260294807,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","hexamethylene-1,6-diisocyanate production",0.0006035000000000001,kilogram,0.0031152918945824806,0.20795905765396647,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for brass,0.0005,kilogram,0.002874526515577938,0.19188693888379413,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methyl acetate,0.0008590000000000001,kilogram,0.002758715682639901,0.18415607047759525,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for flat glass, coated",0.0021,kilogram,0.002301709247573577,0.15364893638095914,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for butyl acrylate,0.00027842436746909,kilogram,0.0014767071392790293,0.09857651722761251,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for silicone product,0.00036,kilogram,0.001259508277811387,0.0840775642939007,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for butyrolactone,0.0002,kilogram,0.0012229775959146669,0.0816389850404093,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for dipropylene glycol monomethyl ether,0.000229,kilogram,0.001209535619034971,0.08074167559413586,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for N,N-dimethylformamide",0.000275,kilogram,0.001018784882978939,0.06800824814677645,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for N-methyl-2-pyrrolidone,0.0001325,kilogram,0.0009765723416140135,0.06519038047322237,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for n-butyl acetate,0.0001775,kilogram,0.0009161725985296006,0.06115843930064097,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for titanium dioxide,0.00010752809569202301,kilogram,0.0007127450548814364,0.04757878072948062,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for dimethyl malonate,6e-05,kilogram,0.0004674899811811654,0.03120695563653921,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for toner, colour, powder",6e-05,kilogram,0.0004202211096629512,0.028051556299999135,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for isophorondiisocyante,6e-05,kilogram,0.00037727400078736684,0.025184653103460693,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for cyclohexanone,7.5e-05,kilogram,0.00037027660106190744,0.024717546744834965,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for acetic acid,0.00013749999999999998,kilogram,0.00035568569025382925,0.023743541045003848,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for calcium carbonate, precipitated",0.00018,kilogram,0.0002716182135752759,0.018131677431253518,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for carbon black,0.00010752809569202301,kilogram,0.00025959726662824463,0.017329227810542136,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methyl methacrylate,2.29e-05,kilogram,0.00015179295457026052,0.010132828915915557,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity",market for methylene diphenyl diisocyanate,2.6e-05,kilogram,0.00014910114228599484,0.009953138933416409,1.6641292613878578
"Sneaker Shoe Assembly, Vietnam electricity","market for polyethylene, low density, fines",0.000155,kilogram,5.080078855614137e-05,0.0033911699043628275,1.6641292613878578
