Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",0.64,kilowatt hour,0.4386934108649638,60.67664697875842,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",4.96,megajoule,0.21105003966995667,29.190793467031888,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,3.9446610985487713,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,2.3512491091415866,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,2.034626120987907,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,1.359702186123932,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.3062000938411591,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.09409214279186881,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.058200196218027,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.003300428100283514,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (FDY/DTY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.019470658633041465,0.7230020653885849
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)","market group for heat, district or industrial, natural gas",4.96,megajoule,0.21105003966995667,47.22045943227761,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)","market group for electricity, medium voltage",0.24,kilowatt hour,0.16451002905113302,36.80757021017352,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,6.381077293718581,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",lubricating oil production,0.01,kilogram,0.016999579621524374,3.803495896704323,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",market for building machine,4.64e-07,unit,0.014710388877678216,3.2913110194990116,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)","building construction, hall",2.04e-05,square meter,0.007958165384371845,1.7805645821045575,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)","market for polypropylene, granulate",0.001,kilogram,0.0022138330026933656,0.495324292082569,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",market for waste polypropylene,-0.001,kilogram,0.0006802881357535881,0.15220806575941576,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",market group for tap water,0.5,kilogram,0.0004207886207165443,0.0941474923443861,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)",market for waste steel,-0.0013,kilogram,2.3862163331715045e-05,0.005338934393633436,0.44694618012482346
"Spinning to filament, Acetate, Triacetate, Melt Spinning (POY)","market for wastewater, average",0.0005,cubic meter,-0.0001407732640616506,-0.03149669251504406,0.44694618012482346
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)","market group for electricity, medium voltage",0.936,kilowatt hour,0.6415891133856254,62.6957057547489,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)","market group for heat, district or industrial, natural gas",7.25,megajoule,0.3084904813939174,30.14550597274398,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)",market for waste mineral oil,-0.01,kilogram,0.02851998121508766,2.7869555656212968,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)",lubricating oil production,0.01,kilogram,0.016999579621524374,1.6611887883841339,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)",market for building machine,4.64e-07,unit,0.014710388877678216,1.4374904333180472,1.0233382105871391
"Spinning to filament, Acrylic, Modacrylic, PAN (Polyacrylonitrile), Melt Spinning (FDY/DTY)","building construction, hall",2.52e-05,square meter,0.00983067488880977,0.9606476907736525,1.0233382105871391
