descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#CELLULOSE_BASED_FIBERS/MMCF?DTEX=200@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 200 dtex, Open-End (Rotor)",0.0091615562506683,4.63295303876792,24.405545673805456,0.0008604983194426,1.8411112820525497,2.1649003703793955e-10,1.0887379968128525e-08,0.240399935644174,3.57954331712576,1.9701893232535086e-06,1.1822941001215245e-08,0.0055070055114823,8.762027234990627e-08,0.0018789380687122,0.0188606129216734,0.4493190799572836,2.02,2.02,2.02,3.0,1.1257
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/ACRYLIC?DTEX=370@WORLD,"Spinning to yarn, Acrylic, Modacrylic, PAN (Polyacrylonitrile), 370 dtex, Open-End (Rotor)",0.0053597428681271,2.746289180885293,14.352309511427332,0.0005029483863987,1.0819365299719688,1.3240313591287178e-10,6.424562770691418e-09,0.1398050887516283,2.1291921765223862,1.21898252116364e-06,7.112064410504813e-09,0.0032645345874381,5.1775040690937446e-08,0.0010997490701693,0.0110687706122492,0.2638630684905103,2.03,2.03,2.03,3.0,1.126
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#CELLULOSE_BASED_FIBERS/MMCF?DTEX=120@WORLD,"Spinning to yarn, MMCF (Rayon, Viscose, Lyocell), 120 dtex, Open-End (Rotor)",0.0163263680848985,8.193752416680983,43.3858364139864,0.0015341688014063,3.274220108503655,3.7533579364894326e-10,1.9307556937925754e-08,0.429864371016985,6.315436838954548,3.395962992006012e-06,2.0751587874602785e-08,0.0097549700385455,1.551863017739678e-07,0.0033473080994571,0.0335448332590098,0.7988457210959233,2.01,2.01,2.01,3.0,1.1312
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/SILK?DTEX=200@WORLD,"Spinning to yarn, Spun Silk, 200 dtex, Ring Spinning",0.0214443419282063,10.7239916867104,56.838335344894794,0.0020155581023047,4.2906166570366535,4.879560640699826e-10,2.5294416178759324e-08,0.56543349980908,8.269333647919199,4.394596963120509e-06,2.6982867529049306e-08,0.0127257962765616,2.0345134308580898e-07,0.0043962167544664,0.0440415350659932,1.0483899975737263,2.01,2.01,2.01,3.0,2.1968
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/POLYAMIDE?DTEX=170@WORLD,"Spinning to yarn, Polyamides (Nylon 6, Nylon 6.6, PA 11, PA 12,…), 170 dtex, Open-End (Rotor)",0.0125646639313321,6.331752160711483,33.46974246828982,0.0011802455139923,2.525223025772065,2.9247917247279206e-10,1.4900597323186885e-08,0.330226852881342,4.882742778241158,2.661832586075114e-06,1.613644295395051e-08,0.0075560248258889,1.197309776613825e-07,0.0025762741085955,0.0258350949603878,0.6153648388597315,2.01,2.01,2.01,3.0,1.0477
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#SYNTHETIC_FIBERS/POLYESTER?DTEX=45@WORLD,"Spinning to yarn, Polyester (PET, PBT, PTT, PLA etc), 45 dtex, Open-End (Rotor)",0.0404359367936318,20.18374137130248,107.30611334056456,0.0038008259330594,8.100230797053438,9.104216335397431e-10,4.765601013236089e-08,1.0672388076165662,15.52563727752444,8.208897260766445e-06,5.0872967078043724e-08,0.0240823796646626,3.825652853868691e-07,0.0082882597184127,0.0829570209003817,1.9750325960339463,2.0,2.0,2.0,3.0,1.0524
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/WOOL_WORSTED?DTEX=150@WORLD,"Spinning to yarn, Worsted Wool, 150 dtex, Ring Spinning",0.0188732366841698,9.952261818828088,52.54622849549778,0.0017671605050977,3.957913103830859,4.960240696793853e-10,2.3278412363608385e-08,0.4870278108035566,7.540465596341378,4.740457461166708e-06,2.7716222942667542e-08,0.0127872625790473,1.8238287956949054e-07,0.0038716987285022,0.0388550990506479,0.9349348846709672,2.08,2.08,2.08,3.0,1.087
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/OPEN_END#PLANT_FIBERS/COTTON?DTEX=300@WORLD,"Spinning to yarn, Cotton, 300 dtex, Open-End (Rotor)",0.0051422576610176,2.6286265099614976,13.713634174869265,0.0004827921530403,1.0340721670426845,1.2689096948208293e-10,6.151316045042243e-09,0.1342631215376769,2.04140962436964,1.1572910033102917e-06,6.748419681370618e-09,0.0030956143306323,4.9700478250013304e-08,0.0010553089406443,0.0106232379703048,0.2532159648908375,2.03,2.03,2.03,3.0,1.1769
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/FOR_WOVEN/RING#PLANT_FIBERS/COTTON?DTEX=330@WORLD,"Spinning to yarn, Coton Combed - Weaving, 330 dtex, Ring Spinning",0.0075617756929426,3.8891733198223193,20.13368582186839,0.000712263986715,1.5214344496428756,1.9745324617676475e-10,9.119361674971372e-09,0.1972044822753919,3.001282713914702,1.7032970296741143e-06,9.815458730726234e-09,0.0045293151412957,7.355555211711955e-08,0.001554413151005,0.0156300080693044,0.3758843559827755,2.03,2.03,2.03,3.0,1.1772
MATERIAL_PROCESS_STEP:YARN_FORMATION/SPINNING/RING#ANIMAL_FIBERS/SILK?DTEX=120@WORLD,"Spinning to yarn, Spun Silk, 120 dtex, Ring Spinning",0.0369996400133347,18.453182744293137,98.03573499164467,0.0034781902905677,7.401288644513558,8.327094328216473e-10,4.3572342715948906e-08,0.9768076160078738,14.208359694084626,7.487071572715462e-06,4.6352593376934106e-08,0.0219419536515032,3.501380085387509e-07,0.0075841701352032,0.0759220174768981,1.8072302754725496,2.0,2.0,2.0,3.0,2.3425
