Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/m2),Contribution (%),Total Activity Impact (kgCO2eq/m2)
"Synthetic PU Leather, DMF-based (solvent-based)","market group for electricity, medium voltage",24.0,kilowatt hour,20.500658237230247,55.37364904664369,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market group for electricity, medium voltage",6.07,kilowatt hour,5.184958145832819,14.004918738046973,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for polyether polyols, long chain",0.403,kilogram,2.058721934352792,5.560745638423014,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market group for electricity, medium voltage",2.04,kilowatt hour,1.7425559501645684,4.706760168964707,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market group for electricity, medium voltage",2.0,kilowatt hour,1.7083881864358523,4.6144707538869705,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for N,N-dimethylformamide",0.426,kilogram,1.5781904003253595,4.262797825569013,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for textile, nonwoven polyester",0.23,kilogram,1.447493234790302,3.9097760400252555,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for N,N-dimethylformamide",0.3,kilogram,1.1114016903699708,3.0019702996964863,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for polyurethane adhesive,0.08,kilogram,0.4262680984985755,1.1513786441829539,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for polyether polyols, long chain",0.07,kilogram,0.35759438065681215,0.9658863391801753,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for carboxymethyl cellulose, powder",0.067,kilogram,0.2741753274558605,0.7405658971582668,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for polyether polyols, long chain",0.0403,kilogram,0.2058721934352794,0.556074563842302,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for N,N-dimethylformamide",0.0426,kilogram,0.1578190400325358,0.42627978255690097,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for kraft paper,0.07,kilogram,0.05511609989887038,0.1488722721633031,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for polydimethylsiloxane,0.004,kilogram,0.0378033195440993,0.10210929449238498,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for aniline,0.006,kilogram,0.03073433313281179,0.08301548939966552,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for carboxymethyl cellulose, powder",0.0067,kilogram,0.027417532745586035,0.07405658971582665,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for titanium dioxide,0.004,kilogram,0.026513816686741565,0.07161559219754254,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for waste polyurethane,-0.04,kilogram,0.02610562600961764,0.07051304187756678,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for cellulose fibre,0.045,kilogram,0.014840595590188233,0.04008544127436164,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for titanium dioxide,0.002,kilogram,0.013256908343370783,0.03580779609877127,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for polydimethylsiloxane,0.001,kilogram,0.009450829886024826,0.025527323623096246,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for waste polyurethane,-0.0073,kilogram,0.004764276746755222,0.012868630142655945,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for polydimethylsiloxane,0.0004,kilogram,0.00378033195440993,0.010210929449238498,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market group for tap water,4.257,kilogram,0.003582594294642202,0.009676826804895204,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for aniline,0.0006,kilogram,0.0030734333132811775,0.008301548939966548,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for titanium dioxide,0.0004,kilogram,0.0026513816686741577,0.007161559219754258,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for waste polyurethane,-0.004,kilogram,0.0026105626009617668,0.007051304187756685,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market group for tap water,3.04,kilogram,0.002558394798147116,0.006910395463209152,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market for cellulose fibre,0.0045,kilogram,0.0014840595590188228,0.0040085441274361625,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for wastewater, average",-0.003831,cubic meter,0.0010786047496911112,0.0029133835693613275,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)","market for wastewater, average",-0.002736,cubic meter,0.0007703113012672623,0.002080662345542312,37.02240793262808
"Synthetic PU Leather, DMF-based (solvent-based)",market group for tap water,0.4257,kilogram,0.00035825942946421933,0.000967682680489518,37.02240793262808
