descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,Input_required_kg
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#JACKET@WORLD,"Generic assembly, Jacket",0.011364608,174.96113372020568,33.69520314196136,0.000808976,2.5993388316701647,4.970244033810712e-09,5.107536888322526e-07,0.1900023738808458,5.087106662592912,1.9083889779153906e-06,2.440934595225647e-08,0.00706958,1.2315075370391674e-07,0.002836133,0.022172243513967814,1.1630918851641894,2.02,2.02,2.02,3,1.1905
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#SWIMWEAR@WORLD,"Generic assembly, Swimwear",0.000718083,1.3904601799472625,1.0091417660068103,4.903910356141223e-05,0.08601166,1.2526363241088842e-11,8.892119127095154e-10,0.008354159,1.5834161733468652,2.1540093603028396e-07,7.212100435556941e-10,0.000283252,5.936135245422237e-09,0.000702526,0.002264081,0.8068063357759625,2.42,2.11,2.42,3,1.2195
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#TSHIRT@WORLD,"Generic assembly, Tshirt",0.001022773,1.5418559964633218,1.8160973592710619,7.768846574554424e-05,0.14694206254984066,1.9279232688500787e-11,1.2472314750417072e-09,0.016411964562795298,1.6997473711560742,2.759748933184562e-07,1.100615268941361e-09,0.000463774,8.809365744158814e-09,0.00076497,0.002888541,0.8216701478129265,2.25,2.07,2.25,3,1.1494
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#SHORTS@WORLD,"Generic assembly, Shorts",0.002268468,120.12717817876992,5.427286387294724,0.00019288,0.4241342916103074,3.2943284462274307e-09,3.521220093678971e-07,0.042154505797064895,2.1411786016267786,5.027510180649239e-07,3.39960707629487e-09,0.001236967,2.180665863024082e-08,0.00112475,0.005317119,0.871327409,2.1,2.1,2.1,3,1.1765
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#UNDERWEAR@WORLD,"Generic assembly, Underwear",0.022044832455162276,344.82513594687333,57.45902365217357,0.002099971,4.352999345194362,9.640229950980903e-09,1.012551981070557e-06,0.5712109358961087,9.758305488,4.564305234071702e-06,3.030290024451327e-08,0.012928007192958536,2.0766076036201852e-07,0.005411815,0.046009007,1.8489885946330864,2.02,2.02,2.02,3,1.1494
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#HOUSEWARE@WORLD,"Generic assembly, Houseware",0.031782671,349.6637199908183,83.24918431,0.003015599,6.300324445353014,9.856050486563482e-09,1.0239942241560617e-06,0.8287370138838932,13.476234762563706,6.500238441974969e-06,4.242862544109864e-08,0.018697453,2.9948870933786674e-07,0.007407519,0.065966644,2.324033449318696,2.01,2.01,2.01,3,1.2
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#SUIT@WORLD,"Generic assembly, Suit",0.011364608098596024,174.96113371609303,33.695203138293536,0.000808976,2.5993388311239722,4.970244033512953e-09,5.107536888298208e-07,0.19000237302376038,5.087105535155204,1.9083889759033854e-06,2.440934593280351e-08,0.00706958,1.2315075371273994e-07,0.002836133,0.022172243505025627,1.1630918847223353,2.02,2.02,2.02,3,1.1905
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#DRESS@WORLD,"Generic assembly, Dress",0.001569536,3.1850635740353717,3.300760709668971,0.000127134,0.2594131572370356,6.988071330128536e-11,5.943258989085203e-09,0.030057341044689972,1.903928824,3.8122189055726906e-07,1.8664689607339416e-09,0.000791619,1.4102420698030234e-08,0.000876631,0.003993547,0.8470139144627273,2.18,2.18,2.18,3,1.2195
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#SHIRT@WORLD,"Generic assembly, Shirts",0.001569536,3.1850635740353757,3.3007607096689946,0.000127134,0.25941315723704195,6.988071330129154e-11,5.9432589890852225e-09,0.030057341044693153,1.9039288242273522,3.812218905572691e-07,1.8664689607338713e-09,0.000791619,1.4102420698030309e-08,0.000876631,0.003993547,0.8470139144627276,2.18,2.18,2.18,3,1.1494
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#PANTS@WORLD,"Generic assembly, Pants",0.002268468,120.1271781795033,5.4272863875741155,0.00019288,0.4241342917144142,3.2943284462487703e-09,3.5212200936866637e-07,0.042154506,2.1411784262330738,5.027510186856531e-07,3.3996070762895695e-09,0.001236967,2.1806658656602207e-08,0.00112475,0.005317119,0.8713274091757632,2.1,2.1,2.1,3,1.1628
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#BELT_SHAWL_HAT_BAG_SCARF@WORLD,"Generic assembly, Belt-shawl-hat-bag-scarf",0.013690545329489715,340.6740177128997,35.33312780225672,0.001314434,2.6823501037432833,9.4550731870605e-09,1.0027354513528541e-06,0.35027415460492733,6.568620776234325,2.903429348475006e-06,1.989999756381213e-08,0.007978284,1.2887972273519622e-07,0.00369966,0.028886949447878427,1.4414380909281888,2.03,2.03,2.03,3,1.1111
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#BAG@WORLD,"Generic assembly, Bag",0.011466890626771614,339.56911750642183,29.443893710251277,0.001105349,2.237674576428208,9.405790141692973e-09,1.00012259256356e-06,0.2914675679319623,5.719624172408485,2.4613551792753268e-06,1.7131064301212788e-08,0.006660819,1.0791062960470666e-07,0.003243937,0.024329583591678063,1.3329606627303248,2.03,2.03,2.03,3,1.1111
PRODUCT_PROCESS_STEP:ASSEMBLY/GENERIC#SKIRT@WORLD,"Generic assembly, Skirts",0.002268468,120.12717817876992,5.427286387294724,0.00019288,0.4241342916103074,3.2943284462274307e-09,3.521220093678971e-07,0.042154505797064895,2.1411786016267786,5.027510180649239e-07,3.39960707629487e-09,0.001236967,2.180665863024082e-08,0.00112475,0.005317119,0.871327409,2.1,2.1,2.1,3,1.1628
