descriptor,Activity,Functional unit,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU
USE_PHASE:WASHING/HAND#LIQUID_DETERGENT@GLO,Hand wash (liquid),1 kg textile,0.0004778038415067,0.087697694230323,1.5883185938744486,5.316376036930607e-05,0.0795360483208484,4.7913103649269224e-11,1.0172732110246743e-09,0.0334248006654096,0.955891267398695,9.82547676570888e-07,1.760896610404261e-09,0.000267605089317,2.7201530591721952e-09,2.638110278854603e-05,0.0008859116314577,0.0874701384910576
USE_PHASE:WASHING/HAND#POWDER_DETERGENT@GLO,Hand wash (powder),1 kg textile,0.0006454116893861,0.008040106461667,2.0761186742638538,6.831470646795381e-05,0.1176351120371895,7.759487500065712e-11,1.2612439303434115e-09,0.0374348196118456,0.7561461025652243,3.669885205394296e-06,2.7505384915370095e-09,0.0003652698890814,4.634234643701102e-09,2.562998888973596e-05,0.0011261911478163,0.0684654673939931
USE_PHASE:WASHING/MACHINE/30C#LIQUID_DETERGENT@GLO,Machine 30° (liquid),1 kg textile,0.000735381998934,-2.2137726541355196,2.225230314790055,3.228848399271548e-05,0.115537686481495,8.598277296147811e-11,1.1260797252838032e-09,0.0406238281465424,1.1146032592377106,2.4398048902904316e-06,2.1872151558976174e-09,0.0003921327613084,5.592446900760111e-09,-0.0004016519507854,0.0011999322905797,0.102142745718211
USE_PHASE:WASHING/MACHINE/30C#POWDER_DETERGENT@GLO,Machine 30° (powder),1 kg textile,0.0009024305532246,-2.319549391848949,2.7117084106887326,4.6917236423602096e-05,0.1535207341647736,1.1554307673864911e-10,1.352119163636394e-09,0.0446158103134763,0.914287283721804,5.126532496377044e-06,3.1752092632445827e-09,0.000489413072825,7.499944555160006e-09,-0.0004071815685362,0.0014384589180413,0.0830809272885741
USE_PHASE:WASHING/MACHINE/40C#LIQUID_DETERGENT@GLO,Machine 40° (liquid),1 kg textile,0.0008999662248836,-0.6621641088609248,2.8120366839433775,8.626010606135001e-05,0.1454054675731521,9.601154676575375e-11,2.30548253769364e-09,0.0554550994715718,1.2562013852479417,2.8243741478312717e-06,2.729745059024935e-09,0.0004686442125115,6.22139210074916e-09,-0.0001119982197849,0.0014750995609358,0.1190709926912274
USE_PHASE:WASHING/MACHINE/40C#POWDER_DETERGENT@GLO,Machine 40° (powder),1 kg textile,0.0010675740681703,-0.7418217012825894,3.299836758803672,0.0001014110519313,0.1835045307872807,1.25693317448034e-10,2.549453221026679e-09,0.0594651184186074,1.0564561769441054,5.5117116570726885e-06,3.719386937457075e-09,0.000566309009869,8.135473611464171e-09,-0.0001127493343975,0.0017153790638843,0.1000663214159072
USE_PHASE:WASHING/MACHINE/60C#LIQUID_DETERGENT@GLO,Machine 60° (liquid),1 kg textile,0.0008431350878122,-0.1867846704170499,2.5867650251780274,8.510199223910635e-05,0.135438886298939,9.368092410005296e-11,2.399045829563318e-09,0.049520042592173,1.213189097241001,2.6864997249024017e-06,2.5419658505552342e-09,0.0004445497808611,6.036210695585662e-09,-2.868188073117963e-05,0.0014089807189408,0.1134392938862626
USE_PHASE:WASHING/MACHINE/60C#POWDER_DETERGENT@GLO,Machine 60° (powder),1 kg textile,0.0010107429371625,-0.2664422567535521,3.0745651065371753,0.0001002529384514,0.1735379500871056,1.2336269558412286e-10,2.643016557211977e-09,0.053530061543897,1.01344393555878,5.3738372699021076e-06,3.531607732948468e-09,0.0005422145812517,7.9502922885099e-09,-2.943299448929446e-05,0.0016492602364588,0.0944346228135825
USE_PHASE:WASHING/DRY_CLEANING@GLO,Dry cleaning,1 kg textile,0.0014976387719924,0.9122805622111796,4.9768196192916605,0.0001757669040515,0.2596448282532025,4.800437868491696e-10,3.6146016624883262e-09,0.1142749607132793,0.593098575241558,8.29871152254149e-07,3.3642090144318786e-06,0.0007506792188542,1.5984930643287756e-08,0.0002627748388053,0.0024668601142134,0.1638657334443766
USE_PHASE:DRYING/TUMBLE#COTTON/CLOSET_DRY@GLO,"Tumble dry (cotton, closet dry)",1 kg textile,0.0009944019291621,0.9588768077776686,3.060066808666801,0.0001568154218743,0.1560147895565707,2.1296827065457016e-10,3.947015050408585e-09,0.0721699202567192,0.8088035390691286,6.73225907941208e-06,3.782857353536202e-09,0.0004442787796428,5.232438421337779e-09,0.0001530008762359,0.0014309278240153,0.0836366359378305
