,Activity,Exchange,Amount,Unit,GHG Impact (kgCO2eq/kg),Contribution (%),Total Activity Impact (kgCO2eq/kg)
0,"Fabric production, nonwoven, cellulosic, wetlaid spunlace","market group for electricity, medium voltage",1.75,kilowatt hour,1.1995522981495477,55.42328132100835,2.1643473095752164
1,"Fabric production, nonwoven, cellulosic, wetlaid spunlace","Heat, for dyeing process, production mix",8.45,megajoule,0.7172444128242625,33.139062739659465,2.1643473095752164
4,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",market for waste mineral oil,-0.03351648,kilogram,0.09558893706514421,4.4165248637430965,2.1643473095752164
3,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",market for lubricating oil,0.03351648,kilogram,0.057679240072107625,2.664971551327776,2.1643473095752164
2,"Fabric production, nonwoven, cellulosic, wetlaid spunlace","market for chemical, organic, unspecified",0.01,kilogram,0.03877458403003404,1.7915139524277226,2.1643473095752164
7,"Fabric production, nonwoven, cellulosic, wetlaid spunlace","market for building, hall",7.58e-05,square meter,0.02955183354335907,1.3653923939388004,2.1643473095752164
5,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",market for building machine,5.41e-07,unit,0.01715155249823571,0.7924584202524291,2.1643473095752164
8,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",market group for tap water,8.0,kilogram,0.006732617911032016,0.31106920230623186,2.1643473095752164
9,"Fabric production, nonwoven, cellulosic, wetlaid spunlace","market for wastewater, average",-0.0072,cubic meter,0.002027134997891091,0.09366033764187988,2.1643473095752164
6,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",market for waste steel,-0.00243551,kilogram,4.4705028766586565e-05,0.002065520102471934,2.1643473095752164
132,"Fabric production, nonwoven, polypropylene, meltblown","Heat, for dyeing process, production mix",10.8,megajoule,0.9167147532180935,47.25751029810172,1.9398287117442936
131,"Fabric production, nonwoven, polypropylene, meltblown","market group for electricity, medium voltage",1.2,kilowatt hour,0.8225501472924425,42.403236033804525,1.9398287117442936
134,"Fabric production, nonwoven, polypropylene, meltblown",market for waste mineral oil,-0.03351648,kilogram,0.09558893706514421,4.927699878160411,1.9398287117442936
133,"Fabric production, nonwoven, polypropylene, meltblown",market for lubricating oil,0.03351648,kilogram,0.057679240072107625,2.9734192366006615,1.9398287117442936
137,"Fabric production, nonwoven, polypropylene, meltblown","market for building, hall",7.58e-05,square meter,0.02955183354335907,1.5234248964583097,1.9398287117442936
135,"Fabric production, nonwoven, polypropylene, meltblown",market for building machine,5.41e-07,unit,0.01715155249823571,0.8841787109550017,1.9398287117442936
138,"Fabric production, nonwoven, polypropylene, meltblown",market group for tap water,0.5,kilogram,0.000420788619439501,0.021692050277012757,1.9398287117442936
139,"Fabric production, nonwoven, polypropylene, meltblown","market for wastewater, average",-0.00045,cubic meter,0.00012669593736819318,0.0065312950881249825,1.9398287117442936
136,"Fabric production, nonwoven, polypropylene, meltblown",market for waste steel,-0.00243551,kilogram,4.4705028766586565e-05,0.0023045864047649763,1.9398287117442936
116,"Fabric sizing, natural fibers","Heat, for dyeing process, production mix",5.308182269,megajoule,0.45056379663354673,59.419201053907585,0.7582797961634933
115,"Fabric sizing, natural fibers","market group for electricity, medium voltage",0.201784136,kilowatt hour,0.13831464231834675,18.24058124957936,0.7582797961634933
117,"Fabric sizing, natural fibers",market for maize starch,0.102649266,kilogram,0.12465707693148168,16.439456459499848,0.7582797961634933
122,"Fabric sizing, natural fibers","market for building, hall",5.5781e-05,square meter,0.021747108534912137,2.8679530491174035,0.7582797961634933
123,"Fabric sizing, natural fibers","market for wastewater, average",-0.053081823,cubic meter,0.014945002951404622,1.9709087631001998,0.7582797961634933
118,"Fabric sizing, natural fibers",paraffin production,0.008926023,kilogram,0.006382429040366678,0.8416984169509059,0.7582797961634933
119,"Fabric sizing, natural fibers",market for tap water,1.141544574,kilogram,0.0013695827286908456,0.18061706715914513,0.7582797961634933
120,"Fabric sizing, natural fibers",market for building machine,9.45964e-09,unit,0.0002999029798185249,0.03955043789058869,0.7582797961634933
121,"Fabric sizing, natural fibers",market for waste steel,-1.42299e-05,kilogram,2.6119707520565903e-07,3.444600219169523e-05,0.7582797961634933
10,"Heat, for dyeing process, production mix","heat production, natural gas, at industrial furnace >100kW",0.475,megajoule,0.035231365684085185,41.50677705938756,0.08488099577974081
12,"Heat, for dyeing process, production mix","heat production, light fuel oil, at industrial furnace 1MW",0.285,megajoule,0.028438345017018536,33.50378345090778,0.08488099577974081
11,"Heat, for dyeing process, production mix","heat production, at hard coal industrial furnace 1-10MW",0.16,megajoule,0.021211286322064794,24.989440954611716,0.08488099577974081
33,"weaving of carpet production, at plant Carpet, Weaved","market group for electricity, medium voltage",8.31868132,kilowatt hour,5.7021104540940755,96.61111073160995,5.902127002695163
35,"weaving of carpet production, at plant Carpet, Weaved",market for waste mineral oil,-0.03351648,kilogram,0.09558893706514421,1.6195676070930736,5.902127002695163
34,"weaving of carpet production, at plant Carpet, Weaved",market for lubricating oil,0.03351648,kilogram,0.057679240072107625,0.9772619268573655,5.902127002695163
38,"weaving of carpet production, at plant Carpet, Weaved","market for building, hall",7.58e-05,square meter,0.02955183354335907,0.5006980285219963,5.902127002695163
36,"weaving of carpet production, at plant Carpet, Weaved",market for building machine,5.41e-07,unit,0.01715155249823571,0.29059951591017236,5.902127002695163
37,"weaving of carpet production, at plant Carpet, Weaved",market for waste steel,-0.00243551,kilogram,4.4705028766586565e-05,0.0007574392883476133,5.902127002695163
60,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved","market group for electricity, medium voltage",1.87912088,kilowatt hour,1.288059297107863,86.55873070737876,1.4880755373623584
62,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved",market for waste mineral oil,-0.03351648,kilogram,0.09558893706514421,6.42366161294321,1.4880755373623584
61,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved",market for lubricating oil,0.03351648,kilogram,0.057679240072107625,3.8760962480671615,1.4880755373623584
65,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved","market for building, hall",7.58e-05,square meter,0.02955183354335907,1.985909505356176,1.4880755373623584
63,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved",market for building machine,5.41e-07,unit,0.01715155249823571,1.1525995870234622,1.4880755373623584
64,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved",market for waste steel,-0.00243551,kilogram,4.4705028766586565e-05,0.003004217705629854,1.4880755373623584
124,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",11.8757148,kilowatt hour,8.140309131567106,89.44547140275702,9.100862239199058
125,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,8.863782521790553,9.100862239199058
127,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02578658,kilogram,0.07354327695780526,0.8080913107446136,9.100862239199058
126,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02578658,kilogram,0.04437668684474194,0.4876096976130848,9.100862239199058
130,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",5.83e-05,square meter,0.02272918068209211,0.2497475523164544,9.100862239199058
128,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.16e-07,unit,0.013188624472776885,0.1449162082244372,9.100862239199058
129,"weaving, 120 dtex-108 denier-49/1 ne-83 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.00187381,kilogram,3.439473865650001e-05,0.00037792835175941525,9.100862239199058
19,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",9.67396812,kilowatt hour,6.631103251391988,87.31632565624723,7.5943452745569715
20,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,10.622122214971606,7.5943452745569715
22,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02623378,kilogram,0.07481869050065536,0.9851894771142076,7.5943452745569715
21,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02623378,kilogram,0.04514628310443757,0.5944723537352106,7.5943452745569715
25,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",5.93e-05,square meter,0.023119046560243738,0.30442448590925336,7.5943452745569715
23,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.24e-07,unit,0.01344225186670718,0.17700343322211348,7.5943452745569715
24,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.0019063,kilogram,3.499110917685493e-05,0.0004607521506045325,7.5943452745569715
94,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",8.6400229,kilowatt hour,5.922376757371625,85.98789615236707,6.887453958493662
95,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,11.712319840563982,6.887453958493662
97,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02654064,kilogram,0.07569385468750889,1.0990106815039051,6.887453958493662
96,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02654064,kilogram,0.04567436513792929,0.6631531101794634,6.887453958493662
100,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",6e-05,square meter,0.023391952673888626,0.33963134729984634,6.887453958493662
98,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.29e-07,unit,0.013600768986808098,0.19747165017394452,6.887453958493662
99,"weaving, 170 dtex-153 denier-34/1 ne-59 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.0019286,kilogram,3.54004370600252e-05,0.0005139843732293718,6.887453958493662
101,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",7.48003645,kilowatt hour,5.12725423617829,84.12023058774108,6.095150001794562
102,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,13.234795472676733,6.095150001794562
104,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02701463,kilogram,0.07704567321994742,1.2640488453485685,6.095150001794562
103,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02701463,kilogram,0.04649006484629969,0.762738650117091,6.095150001794562
107,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",6.11e-05,square meter,0.023820805138371908,0.39081573269498665,6.095150001794562
105,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.36e-07,unit,0.013822692956191205,0.22678183395193663,6.095150001794562
106,"weaving, 200 dtex-180 denier-30/1 ne-50 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.00196304,kilogram,3.603260084060578e-05,0.000591168401597941,6.095150001794562
87,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",5.31094364,kilowatt hour,3.6404312277114435,78.82183062698239,4.618557065668107
88,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,17.466074902198276,4.618557065668107
90,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02872459,kilogram,0.08192247591228051,1.7737677535966494,4.618557065668107
89,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02872459,kilogram,0.04943277225780898,1.070307707687881,4.618557065668107
93,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",6.5e-05,square meter,0.02534128206133032,0.5486839655983448,4.618557065668107
91,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.64e-07,unit,0.014710388833702646,0.31850616165494283,4.618557065668107
92,"weaving, 300 dtex-270 denier-20/1 ne-33 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.0020873,kilogram,3.8313456538872926e-05,0.0008295546854595508,4.618557065668107
26,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",4.9234648,kilowatt hour,3.3748305803377976,77.47095041017522,4.356252972849213
27,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,18.517763810276424,4.356252972849213
29,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02928061,kilogram,0.08350824389727682,1.916974161458262,4.356252972849213
28,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02928061,kilogram,0.05038963913155327,1.1567197645685818,4.356252972849213
32,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",6.62e-05,square meter,0.025809121116222213,0.5924614864444322,4.356252972849213
30,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.73e-07,unit,0.014995719652301676,0.34423436255341494,4.356252972849213
31,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.0021277,kilogram,3.905501914035362e-05,0.0008965278046010637,4.356252972849213
53,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",4.50959739,kilowatt hour,3.0911416643102676,75.81540660726776,4.077194600198776
54,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,19.785188483547834,4.077194600198776
56,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.03005634,kilogram,0.08572062437663054,2.102441329939252,4.077194600198776
55,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.03005634,kilogram,0.05172460984490579,1.2686323542757572,4.077194600198776
59,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",6.8e-05,square meter,0.026510879693736455,0.6502235554919052,4.077194600198776
57,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.85e-07,unit,0.015376160743266615,0.37712599596097224,4.077194600198776
58,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.00218407,kilogram,4.008971927178236e-05,0.0009832672512081679,4.077194600198776
80,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",30.2551678,kilowatt hour,20.73866060850278,95.60107046295366,21.692916729984955
81,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,3.7186361176380265,21.692916729984955
83,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02473253,kilogram,0.07053712836770762,0.32516202982611336,21.692916729984955
82,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02473253,kilogram,0.04256274931406242,0.19620574699035384,21.692916729984955
86,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",5.59e-05,square meter,0.021793502575937474,0.10046368059770167,21.692916729984955
84,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,3.99e-07,unit,0.012649666260656351,0.058312427130517666,21.692916729984955
85,"weaving, 45 dtex-41 denier- 130/1 ne-222 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.00179721,kilogram,3.298870656261869e-05,0.0001520713280433155,21.692916729984955
108,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market group for electricity, medium voltage",19.7532978,kilowatt hour,13.540065011960088,93.40303508685159,14.496386546079306
109,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","Fabric sizing, natural fibers",1.06382979,kilogram,0.8066806364903625,5.56470147871807,14.496386546079306
111,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste mineral oil,-0.02507417,kilogram,0.07151148502883492,0.49330558895848375,14.496386546079306
110,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for lubricating oil,0.02507417,kilogram,0.04315068500875868,0.2976651103473039,14.496386546079306
114,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved","market for building, hall",5.67e-05,square meter,0.02210539527751354,0.15248900274042546,14.496386546079306
112,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for building machine,4.05e-07,unit,0.01283988680501897,0.08857301620790214,14.496386546079306
113,"weaving, 70 dtex-63 denier-84/1 ne-143 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",market for waste steel,-0.00182204,kilogram,3.344447388432198e-05,0.00023070903757990214,14.496386546079306
46,"weaving, generic water-jet service, Fabric,Weaved water-jet loom production mix, at plant service, Fabric,Weaved water-jet loom","market group for electricity, medium voltage",3.87762355,kilowatt hour,2.65794985166618,73.89705910209405,3.596827646407461
47,"weaving, generic water-jet service, Fabric,Weaved water-jet loom production mix, at plant service, Fabric,Weaved water-jet loom","Fabric sizing, natural fibers",1.04166667,kilogram,0.7898747906378326,21.9603180437841,3.596827646407461
49,"weaving, generic water-jet service, Fabric,Weaved water-jet loom production mix, at plant service, Fabric,Weaved water-jet loom",market for waste mineral oil,-0.02496563,kilogram,0.07120192912916018,1.9795757853528848,3.596827646407461
