descriptor,Activity,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU,P_dqr,TiR_dqr,TeR_dqr,GR_dqr,yarn_IOR
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/NON_WOVEN/WETLAID_SPUNLACE/CELLULOSIC_FIBERS#ANY@WORLD,"Fabric production, nonwoven, cellulosic, wetlaid spunlace",0.009057986001356544,7.652534829736696,28.714261560095476,0.0006924555026044738,2.1643473095752164,3.432602016819629e-10,1.1835000152403253e-08,0.1678413354784911,3.823487491577405,2.9330615106527035e-06,2.4749763137046768e-08,0.0067151234818756175,9.82615197367601e-08,0.0018014677909040616,0.018080539209470142,0.388867107033829,2.11,2.11,2.11,3.0,
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/SILK#ANY@WORLD,"weaving, silk service, Fabric, Silk production mix, at plant service, Fabric, Silk",0.053848999196390544,27.135460679812535,143.63486238913418,0.0050386625665898525,10.845127736239652,1.2370737780515027e-09,6.377107118476573e-08,1.4119326130962953,21.152411146710605,1.1777608242155003e-05,6.922183985094363e-08,0.0328079885173504,5.115476154557769e-07,0.011024166565805637,0.11086644888918726,2.6262083259991864,2.02,2.02,2.02,3.0,1.063829787
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/AIR_JET#ANY?DTEX=150@WORLD,"weaving, 150 dtex-135 denier-40/1 ne-67 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",0.03748816812979561,35.73154345354529,100.28630034526192,0.0035012383953870584,7.5943452745569715,9.568733395178714e-10,4.556022522999239e-08,0.9076942902913351,23.859470370101036,9.8766798601685e-06,5.313346302427965e-08,0.02294586831617861,3.638932783706163e-07,0.008332711239488727,0.07907002053147176,48.26152417316871,2.13,2.13,2.13,3.0,1.063829787
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/AIR_JET#ANY?DTEX=330@WORLD,"weaving, 330 dtex-297 denier-18/1 ne-30 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",0.021260860086068412,27.702868202764865,57.401645393748936,0.0019731752066741172,4.356252972849213,6.011889462461637e-10,2.65378101679954e-08,0.4774428723267876,17.717782761925534,6.7481285099742825e-06,3.3124006967800676e-08,0.01341370211362463,2.112106010471913e-07,0.00500595696792726,0.04585805695237978,47.46983306989577,2.23,2.23,2.23,3.0,1.063829787
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/CARPET#ANY@WORLD,"weaving of carpet production, at plant Carpet, Weaved",0.02913091563317114,14.853420753560453,78.17030122469039,0.0027144728014112606,5.902127002695163,6.892448146214618e-10,3.47266049384259e-08,0.7582402367765773,11.714995035749238,6.863522674074647e-06,3.8442455305556406e-08,0.01816309091808146,2.784557623452903e-07,0.005958362141316106,0.060206897191078926,1.4203762516299014,2.03,2.03,2.03,3.0,1.136363636
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/JACQUARD#ANY@WORLD,"weaving, jacquard service, Fabric, Weaved by jacquard loom production mix, at plant service, Fabric, Weaved by jacquard loom",0.0465224820039853,40.77588222237526,124.22263858423928,0.0043504761461747275,9.402431505580967,1.1602645423524558e-09,5.6214201934929825e-08,1.1441264157087678,27.610421815557615,1.172877920056293e-05,6.454651313704095e-08,0.02830215278239052,4.493452819420658e-07,0.01020590859078987,0.0976485212950789,50.23300886779679,2.11,2.11,2.11,3.0,1.098901099
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/WATER_JET#ANY@WORLD,"weaving, generic water-jet service, Fabric,Weaved water-jet loom production mix, at plant service, Fabric,Weaved water-jet loom",0.01751665600304096,25.443574953286166,47.349582371813,0.0016243648838388189,3.596827646407461,5.106815283743408e-10,2.205086362670397e-08,0.3815299780857139,16.023045417337173,5.833152934855601e-06,2.8083396628098318e-08,0.011078397726013685,1.7526622803015676e-07,0.00422638930323745,0.038081458172138996,46.31990462314056,2.26,2.26,2.26,3.0,1.041666667
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/AIR_JET#ANY?DTEX=370@WORLD,"weaving, 370 dtex-333 denier-16/1 ne-27 nm service, Fabric, Weaved production, at plant service, Fabric, Weaved",0.019856622362421313,27.013919404540143,53.70587004253112,0.0018405544295997775,4.077194600198776,5.710744133910592e-10,2.4899203784966498e-08,0.4400220119686421,17.195617070722022,6.49409382622507e-06,3.142552438648884e-08,0.012602607386626715,1.9805627340960456e-07,0.004717884737257977,0.04299198306979388,47.401306809135605,2.24,2.24,2.24,3.0,1.063829787
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/BACKING#ANY@WORLD,"weaving of primary backing service, Backing fabric, weaved production mix, at plant service, Backing fabric, weaved",0.007057907991250275,3.885678838260686,19.71108633222848,0.0006389939999624078,1.4880755373623584,2.0003889130383076e-10,8.790179761330035e-09,0.1744993188827923,3.2874713482118256,2.475292188581965e-06,1.0956764987458249e-08,0.005085340138327471,7.030700998450931e-08,0.0014346481771407213,0.014968411409082005,0.34357996498017296,2.13,2.13,2.13,3.0,1.136363636
COMPONENT_PROCESS_STEP:TEXTILE_FORMATION/WEAVING/SHUTTLE#ANY@WORLD,"weaving, shuttle service, Fabric, Weaved by shuttle loom production mix, at plant service, Fabric, Weaved by shuttle loom",0.033608703498864426,34.96124221726119,90.05582666029775,0.003135413862747754,6.823391240727399,8.784637614224289e-10,4.109302817621496e-08,0.7996730062158088,23.015469107422746,9.245781486322801e-06,4.869167350607011e-08,0.02067624318227862,3.279304324680794e-07,0.007582214070505895,0.07126008952724813,51.23815177862182,2.15,2.15,2.15,3.0,1.136363636
